../../../Project_WorkCell/Scene.wc.xml
CylinderBlue
x y #collisionFreeSolutions
-0.325 -0.525 0
-0.2925 -0.525 0
-0.26 -0.525 0
-0.2275 -0.525 0
-0.195 -0.525 0
-0.1625 -0.525 0
-0.13 -0.525 0
-0.0975 -0.525 0
-0.065 -0.525 0
-0.0325 -0.525 0
0 -0.525 0
0.0325 -0.525 0
0.065 -0.525 0
0.0975 -0.525 0
-0.325 -0.49 0
-0.2925 -0.49 0
-0.26 -0.49 0
-0.2275 -0.49 0
-0.195 -0.49 0
-0.1625 -0.49 0
-0.13 -0.49 0
-0.0975 -0.49 0
-0.065 -0.49 0
-0.0325 -0.49 0
0 -0.49 0
0.0325 -0.49 0
0.065 -0.49 0
0.0975 -0.49 0
-0.325 -0.455 2
-0.2925 -0.455 2
-0.26 -0.455 0
-0.2275 -0.455 0
-0.195 -0.455 0
-0.1625 -0.455 0
-0.13 -0.455 0
-0.0975 -0.455 0
-0.065 -0.455 0
-0.0325 -0.455 0
0 -0.455 0
0.0325 -0.455 0
0.065 -0.455 0
0.0975 -0.455 0
-0.325 -0.42 17
-0.2925 -0.42 14
-0.26 -0.42 8
-0.2275 -0.42 2
-0.195 -0.42 2
-0.1625 -0.42 0
-0.13 -0.42 0
-0.0975 -0.42 0
-0.065 -0.42 0
-0.0325 -0.42 0
0 -0.42 0
0.0325 -0.42 0
0.065 -0.42 0
0.0975 -0.42 0
-0.325 -0.385 37
-0.2925 -0.385 27
-0.26 -0.385 26
-0.2275 -0.385 16
-0.195 -0.385 11
-0.1625 -0.385 8
-0.13 -0.385 4
-0.0975 -0.385 2
-0.065 -0.385 0
-0.0325 -0.385 0
0 -0.385 0
0.0325 -0.385 0
0.065 -0.385 0
0.0975 -0.385 0
-0.325 -0.35 54
-0.2925 -0.35 40
-0.26 -0.35 34
-0.2275 -0.35 25
-0.195 -0.35 22
-0.1625 -0.35 17
-0.13 -0.35 16
-0.0975 -0.35 13
-0.065 -0.35 3
-0.0325 -0.35 0
0 -0.35 0
0.0325 -0.35 0
0.065 -0.35 0
0.0975 -0.35 0
-0.325 -0.315 71
-0.2925 -0.315 92
-0.26 -0.315 94
-0.2275 -0.315 100
-0.195 -0.315 85
-0.1625 -0.315 59
-0.13 -0.315 46
-0.0975 -0.315 17
-0.065 -0.315 15
-0.0325 -0.315 10
0 -0.315 6
0.0325 -0.315 0
0.065 -0.315 0
0.0975 -0.315 0
0.13 -0.315 0
0.1625 -0.315 0
0.195 -0.315 0
0.2275 -0.315 0
0.26 -0.315 0
0.2925 -0.315 0
0.325 -0.315 0
-0.325 -0.28 238
-0.2925 -0.28 254
-0.26 -0.28 268
-0.2275 -0.28 310
-0.195 -0.28 310
-0.1625 -0.28 303
-0.13 -0.28 299
-0.0975 -0.28 271
-0.065 -0.28 233
-0.0325 -0.28 181
0 -0.28 116
0.0325 -0.28 32
0.065 -0.28 0
0.0975 -0.28 0
0.13 -0.28 0
0.1625 -0.28 0
0.195 -0.28 0
0.2275 -0.28 0
0.26 -0.28 0
0.2925 -0.28 0
0.325 -0.28 0
-0.325 -0.245 440
-0.2925 -0.245 464
-0.26 -0.245 477
-0.2275 -0.245 487
-0.195 -0.245 528
-0.1625 -0.245 536
-0.13 -0.245 480
-0.0975 -0.245 455
-0.065 -0.245 441
-0.0325 -0.245 407
0 -0.245 351
0.0325 -0.245 293
0.065 -0.245 201
0.0975 -0.245 116
0.13 -0.245 17
0.1625 -0.245 0
0.195 -0.245 0
0.2275 -0.245 0
0.26 -0.245 0
0.2925 -0.245 0
0.325 -0.245 0
-0.325 -0.21 590
-0.2925 -0.21 627
-0.26 -0.21 651
-0.2275 -0.21 708
-0.195 -0.21 716
-0.1625 -0.21 727
-0.13 -0.21 720
-0.0975 -0.21 709
-0.065 -0.21 626
-0.0325 -0.21 604
0 -0.21 556
0.0325 -0.21 491
0.065 -0.21 424
0.0975 -0.21 355
0.13 -0.21 263
0.1625 -0.21 162
0.195 -0.21 70
0.2275 -0.21 0
0.26 -0.21 0
