../../../Project_WorkCell/Scene.wc.xml
CylinderGreen
x y #collisionFreeSolutions
-0.325 -0.525 0
-0.2925 -0.525 0
-0.26 -0.525 0
-0.2275 -0.525 0
-0.195 -0.525 0
-0.1625 -0.525 0
-0.13 -0.525 0
-0.0975 -0.525 0
-0.065 -0.525 0
-0.0325 -0.525 0
0 -0.525 0
0.0325 -0.525 0
0.065 -0.525 0
0.0975 -0.525 0
-0.325 -0.49 0
-0.2925 -0.49 0
-0.26 -0.49 0
-0.2275 -0.49 0
-0.195 -0.49 0
-0.1625 -0.49 0
-0.13 -0.49 0
-0.0975 -0.49 0
-0.065 -0.49 0
-0.0325 -0.49 0
0 -0.49 0
0.0325 -0.49 0
0.065 -0.49 0
0.0975 -0.49 0
-0.325 -0.455 0
-0.2925 -0.455 0
-0.26 -0.455 0
-0.2275 -0.455 0
-0.195 -0.455 0
-0.1625 -0.455 0
-0.13 -0.455 0
-0.0975 -0.455 0
-0.065 -0.455 0
-0.0325 -0.455 0
0 -0.455 0
0.0325 -0.455 0
0.065 -0.455 0
0.0975 -0.455 0
-0.325 -0.42 0
-0.2925 -0.42 0
-0.26 -0.42 0
-0.2275 -0.42 0
-0.195 -0.42 0
-0.1625 -0.42 0
-0.13 -0.42 0
-0.0975 -0.42 0
-0.065 -0.42 0
-0.0325 -0.42 0
0 -0.42 0
0.0325 -0.42 0
0.065 -0.42 0
0.0975 -0.42 0
-0.325 -0.385 0
-0.2925 -0.385 0
-0.26 -0.385 0
-0.2275 -0.385 0
-0.195 -0.385 0
-0.1625 -0.385 0
-0.13 -0.385 0
-0.0975 -0.385 0
-0.065 -0.385 0
-0.0325 -0.385 0
0 -0.385 0
0.0325 -0.385 0
0.065 -0.385 0
0.0975 -0.385 0
-0.325 -0.35 0
-0.2925 -0.35 0
-0.26 -0.35 0
-0.2275 -0.35 0
-0.195 -0.35 0
-0.1625 -0.35 0
-0.13 -0.35 0
-0.0975 -0.35 0
-0.065 -0.35 0
-0.0325 -0.35 0
0 -0.35 0
0.0325 -0.35 0
0.065 -0.35 0
0.0975 -0.35 0
-0.325 -0.315 0
-0.2925 -0.315 0
-0.26 -0.315 0
-0.2275 -0.315 0
-0.195 -0.315 0
-0.1625 -0.315 0
-0.13 -0.315 0
-0.0975 -0.315 0
-0.065 -0.315 0
-0.0325 -0.315 0
0 -0.315 0
0.0325 -0.315 0
0.065 -0.315 0
0.0975 -0.315 0
0.13 -0.315 0
0.1625 -0.315 0
0.195 -0.315 0
0.2275 -0.315 0
0.26 -0.315 0
0.2925 -0.315 0
0.325 -0.315 0
-0.325 -0.28 0
-0.2925 -0.28 0
-0.26 -0.28 0
-0.2275 -0.28 0
-0.195 -0.28 0
-0.1625 -0.28 0
-0.13 -0.28 0
-0.0975 -0.28 0
-0.065 -0.28 0
-0.0325 -0.28 0
0 -0.28 0
0.0325 -0.28 0
0.065 -0.28 0
0.0975 -0.28 0
0.13 -0.28 0
0.1625 -0.28 0
0.195 -0.28 0
0.2275 -0.28 0
0.26 -0.28 0
0.2925 -0.28 0
0.325 -0.28 0
-0.325 -0.245 0
-0.2925 -0.245 0
-0.26 -0.245 0
-0.2275 -0.245 26
-0.195 -0.245 51
-0.1625 -0.245 63
-0.13 -0.245 90
-0.0975 -0.245 122
-0.065 -0.245 155
-0.0325 -0.245 165
0 -0.245 164
0.0325 -0.245 165
0.065 -0.245 155
0.0975 -0.245 122
0.13 -0.245 90
0.1625 -0.245 62
0.195 -0.245 51
0.2275 -0.245 26
0.26 -0.245 0
0.2925 -0.245 0
0.325 -0.245 0
-0.325 -0.21 79
-0.2925 -0.21 120
-0.26 -0.21 164
-0.2275 -0.21 219
-0.195 -0.21 285
-0.1625 -0.21 334
-0.13 -0.21 370
-0.0975 -0.21 393
-0.065 -0.21 414
-0.0325 -0.21 437
0 -0.21 440
0.0325 -0.21 437
0.065 -0.21 415
0.0975 -0.21 392
0.13 -0.21 370
0.1625 -0.21 334
0.195 -0.21 285
0.2275 -0.21 219
0.26 -0.21 164
