../../../Project_WorkCell/Scene.wc.xml
CylinderRed
x y #collisionFreeSolutions
-0.325 -0.525 0
-0.2925 -0.525 0
-0.26 -0.525 0
-0.2275 -0.525 0
-0.195 -0.525 0
-0.1625 -0.525 0
-0.13 -0.525 0
-0.0975 -0.525 0
-0.065 -0.525 0
-0.0325 -0.525 0
0 -0.525 0
0.0325 -0.525 0
0.065 -0.525 0
0.0975 -0.525 0
-0.325 -0.49 0
-0.2925 -0.49 0
-0.26 -0.49 0
-0.2275 -0.49 0
-0.195 -0.49 0
-0.1625 -0.49 0
-0.13 -0.49 0
-0.0975 -0.49 0
-0.065 -0.49 0
-0.0325 -0.49 0
0 -0.49 0
0.0325 -0.49 0
0.065 -0.49 0
0.0975 -0.49 0
-0.325 -0.455 0
-0.2925 -0.455 0
-0.26 -0.455 0
-0.2275 -0.455 0
-0.195 -0.455 0
-0.1625 -0.455 0
-0.13 -0.455 0
-0.0975 -0.455 0
-0.065 -0.455 0
-0.0325 -0.455 0
0 -0.455 0
0.0325 -0.455 0
0.065 -0.455 0
0.0975 -0.455 0
-0.325 -0.42 0
-0.2925 -0.42 0
-0.26 -0.42 0
-0.2275 -0.42 0
-0.195 -0.42 0
-0.1625 -0.42 0
-0.13 -0.42 0
-0.0975 -0.42 0
-0.065 -0.42 0
-0.0325 -0.42 0
0 -0.42 0
0.0325 -0.42 0
0.065 -0.42 0
0.0975 -0.42 0
-0.325 -0.385 0
-0.2925 -0.385 0
-0.26 -0.385 0
-0.2275 -0.385 0
-0.195 -0.385 0
-0.1625 -0.385 0
-0.13 -0.385 0
-0.0975 -0.385 0
-0.065 -0.385 0
-0.0325 -0.385 0
0 -0.385 0
0.0325 -0.385 0
0.065 -0.385 0
0.0975 -0.385 0
-0.325 -0.35 0
-0.2925 -0.35 0
-0.26 -0.35 0
-0.2275 -0.35 0
-0.195 -0.35 0
-0.1625 -0.35 0
-0.13 -0.35 0
-0.0975 -0.35 0
-0.065 -0.35 0
-0.0325 -0.35 0
0 -0.35 0
0.0325 -0.35 42
0.065 -0.35 66
0.0975 -0.35 100
-0.325 -0.315 0
-0.2925 -0.315 0
-0.26 -0.315 0
-0.2275 -0.315 0
-0.195 -0.315 0
-0.1625 -0.315 0
-0.13 -0.315 0
-0.0975 -0.315 5
-0.065 -0.315 145
-0.0325 -0.315 207
0 -0.315 259
0.0325 -0.315 172
0.065 -0.315 282
0.0975 -0.315 351
0.13 -0.315 383
0.1625 -0.315 399
0.195 -0.315 412
0.2275 -0.315 387
0.26 -0.315 382
0.2925 -0.315 365
0.325 -0.315 348
-0.325 -0.28 0
-0.2925 -0.28 0
-0.26 -0.28 0
-0.2275 -0.28 0
-0.195 -0.28 0
-0.1625 -0.28 9
-0.13 -0.28 176
-0.0975 -0.28 261
-0.065 -0.28 327
-0.0325 -0.28 382
0 -0.28 421
0.0325 -0.28 469
0.065 -0.28 501
0.0975 -0.28 534
0.13 -0.28 565
0.1625 -0.28 573
0.195 -0.28 568
0.2275 -0.28 537
0.26 -0.28 527
0.2925 -0.28 505
0.325 -0.28 492
-0.325 -0.245 0
-0.2925 -0.245 0
-0.26 -0.245 0
-0.2275 -0.245 5
-0.195 -0.245 174
-0.1625 -0.245 280
-0.13 -0.245 357
-0.0975 -0.245 416
-0.065 -0.245 495
-0.0325 -0.245 545
0 -0.245 600
0.0325 -0.245 635
0.065 -0.245 672
0.0975 -0.245 712
0.13 -0.245 733
0.1625 -0.245 734
0.195 -0.245 725
0.2275 -0.245 689
0.26 -0.245 683
0.2925 -0.245 659
0.325 -0.245 629
-0.325 -0.21 0
-0.2925 -0.21 0
-0.26 -0.21 103
-0.2275 -0.21 264
-0.195 -0.21 361
-0.1625 -0.21 438
-0.13 -0.21 527
-0.0975 -0.21 597
-0.065 -0.21 664
-0.0325 -0.21 725
0 -0.21 785
0.0325 -0.21 812
0.065 -0.21 865
0.0975 -0.21 889
0.13 -0.21 907
0.1625 -0.21 917
0.195 -0.21 925
0.2275 -0.21 924
0.26 -0.21 865
0.2925 -0.21 816
