../../../Project_WorkCell/Scene_rap_blue.wc.xml
CylinderBlue
x y #collisionFreeSolutions
-0.325 -0.525 2660
-0.2925 -0.525 2061
-0.26 -0.525 2393
-0.2275 -0.525 2537
-0.195 -0.525 2620
-0.1625 -0.525 2741
-0.13 -0.525 2826
-0.0975 -0.525 2913
-0.065 -0.525 2923
-0.0325 -0.525 2935
0 -0.525 2878
0.0325 -0.525 2419
0.065 -0.525 1880
0.0975 -0.525 1085
-0.325 -0.49 2651
-0.2925 -0.49 2055
-0.26 -0.49 2396
-0.2275 -0.49 2547
-0.195 -0.49 2635
-0.1625 -0.49 2746
-0.13 -0.49 2835
-0.0975 -0.49 2909
-0.065 -0.49 2928
-0.0325 -0.49 2935
0 -0.49 2885
0.0325 -0.49 2329
0.065 -0.49 1784
0.0975 -0.49 1000
-0.325 -0.455 2604
-0.2925 -0.455 2059
-0.26 -0.455 2379
-0.2275 -0.455 2532
-0.195 -0.455 2625
-0.1625 -0.455 2726
-0.13 -0.455 2818
-0.0975 -0.455 2907
-0.065 -0.455 2910
-0.0325 -0.455 2911
0 -0.455 2840
0.0325 -0.455 2428
0.065 -0.455 1844
0.0975 -0.455 1041
-0.325 -0.42 2574
-0.2925 -0.42 2062
-0.26 -0.42 2352
-0.2275 -0.42 2507
-0.195 -0.42 2603
-0.1625 -0.42 2697
-0.13 -0.42 2792
-0.0975 -0.42 2893
-0.065 -0.42 2898
-0.0325 -0.42 2900
0 -0.42 2850
0.0325 -0.42 2561
0.065 -0.42 2114
0.0975 -0.42 1350
-0.325 -0.385 2488
-0.2925 -0.385 2131
-0.26 -0.385 2285
-0.2275 -0.385 2485
-0.195 -0.385 2588
-0.1625 -0.385 2677
-0.13 -0.385 2768
-0.0975 -0.385 2871
-0.065 -0.385 2887
-0.0325 -0.385 2881
0 -0.385 2863
0.0325 -0.385 2711
0.065 -0.385 2417
0.0975 -0.385 1897
-0.325 -0.35 2449
-0.2925 -0.35 2146
-0.26 -0.35 2216
-0.2275 -0.35 2443
-0.195 -0.35 2555
-0.1625 -0.35 2639
-0.13 -0.35 2734
-0.0975 -0.35 2818
-0.065 -0.35 2876
-0.0325 -0.35 2883
0 -0.35 2870
0.0325 -0.35 2808
0.065 -0.35 2643
0.0975 -0.35 2425
-0.325 -0.315 2340
-0.2925 -0.315 2200
-0.26 -0.315 2088
-0.2275 -0.315 2392
-0.195 -0.315 2510
-0.1625 -0.315 2599
-0.13 -0.315 2691
-0.0975 -0.315 2774
-0.065 -0.315 2842
-0.0325 -0.315 2866
0 -0.315 2882
0.0325 -0.315 2878
0.065 -0.315 2767
0.0975 -0.315 2634
0.13 -0.315 2464
0.1625 -0.315 2061
0.195 -0.315 1295
0.2275 -0.315 776
0.26 -0.315 596
0.2925 -0.315 565
0.325 -0.315 564
-0.325 -0.28 2270
-0.2925 -0.28 2289
