../../../Project_WorkCell/Scene_rap_green.wc.xml
CylinderGreen
x y #collisionFreeSolutions
-0.325 -0.525 600
-0.2925 -0.525 409
-0.26 -0.525 386
-0.2275 -0.525 360
-0.195 -0.525 324
-0.1625 -0.525 288
-0.13 -0.525 250
-0.0975 -0.525 223
-0.065 -0.525 195
-0.0325 -0.525 174
0 -0.525 148
0.0325 -0.525 16
0.065 -0.525 68
0.0975 -0.525 110
-0.325 -0.49 561
-0.2925 -0.49 385
-0.26 -0.49 361
-0.2275 -0.49 334
-0.195 -0.49 301
-0.1625 -0.49 269
-0.13 -0.49 229
-0.0975 -0.49 197
-0.065 -0.49 166
-0.0325 -0.49 141
0 -0.49 98
0.0325 -0.49 6
0.065 -0.49 30
0.0975 -0.49 51
-0.325 -0.455 536
-0.2925 -0.455 365
-0.26 -0.455 344
-0.2275 -0.455 317
-0.195 -0.455 292
-0.1625 -0.455 250
-0.13 -0.455 216
-0.0975 -0.455 180
-0.065 -0.455 145
-0.0325 -0.455 119
0 -0.455 74
0.0325 -0.455 3
0.065 -0.455 4
0.0975 -0.455 7
-0.325 -0.42 520
-0.2925 -0.42 347
-0.26 -0.42 333
-0.2275 -0.42 311
-0.195 -0.42 280
-0.1625 -0.42 241
-0.13 -0.42 203
-0.0975 -0.42 171
-0.065 -0.42 149
-0.0325 -0.42 119
0 -0.42 90
0.0325 -0.42 33
0.065 -0.42 0
0.0975 -0.42 1
-0.325 -0.385 499
-0.2925 -0.385 345
-0.26 -0.385 335
-0.2275 -0.385 306
-0.195 -0.385 273
-0.1625 -0.385 240
-0.13 -0.385 206
-0.0975 -0.385 176
-0.065 -0.385 152
-0.0325 -0.385 142
0 -0.385 129
0.0325 -0.385 99
0.065 -0.385 28
0.0975 -0.385 0
-0.325 -0.35 465
-0.2925 -0.35 384
-0.26 -0.35 336
-0.2275 -0.35 308
-0.195 -0.35 287
-0.1625 -0.35 254
-0.13 -0.35 208
-0.0975 -0.35 194
-0.065 -0.35 178
-0.0325 -0.35 180
0 -0.35 181
0.0325 -0.35 182
0.065 -0.35 164
0.0975 -0.35 113
-0.325 -0.315 413
-0.2925 -0.315 472
-0.26 -0.315 340
-0.2275 -0.315 328
-0.195 -0.315 302
-0.1625 -0.315 269
-0.13 -0.315 241
-0.0975 -0.315 227
-0.065 -0.315 228
-0.0325 -0.315 249
0 -0.315 276
0.0325 -0.315 338
0.065 -0.315 386
0.0975 -0.315 432
0.13 -0.315 539
0.1625 -0.315 575
0.195 -0.315 479
0.2275 -0.315 471
0.26 -0.315 451
0.2925 -0.315 399
0.325 -0.315 388
-0.325 -0.28 350
-0.2925 -0.28 483
-0.26 -0.28 355
-0.2275 -0.28 343
-0.195 -0.28 327
-0.1625 -0.28 297
-0.13 -0.28 275
-0.0975 -0.28 277
-0.065 -0.28 294
-0.0325 -0.28 355
0 -0.28 388
0.0325 -0.28 440
0.065 -0.28 503
0.0975 -0.28 607
0.13 -0.28 732
0.1625 -0.28 855
0.195 -0.28 863
0.2275 -0.28 732
0.26 -0.28 651
0.2925 -0.28 649
0.325 -0.28 745
-0.325 -0.245 312
-0.2925 -0.245 453
-0.26 -0.245 395
-0.2275 -0.245 364
-0.195 -0.245 343
-0.1625 -0.245 320
-0.13 -0.245 319
