../../../Project_WorkCell/Scene_rap_red.wc.xml
CylinderRed
x y #collisionFreeSolutions
-0.325 -0.525 416
-0.2925 -0.525 325
-0.26 -0.525 270
-0.2275 -0.525 221
-0.195 -0.525 185
-0.1625 -0.525 173
-0.13 -0.525 163
-0.0975 -0.525 161
-0.065 -0.525 152
-0.0325 -0.525 192
0 -0.525 289
0.0325 -0.525 258
0.065 -0.525 258
0.0975 -0.525 251
-0.325 -0.49 363
-0.2925 -0.49 291
-0.26 -0.49 253
-0.2275 -0.49 201
-0.195 -0.49 165
-0.1625 -0.49 151
-0.13 -0.49 141
-0.0975 -0.49 134
-0.065 -0.49 115
-0.0325 -0.49 148
0 -0.49 227
0.0325 -0.49 212
0.065 -0.49 211
0.0975 -0.49 171
-0.325 -0.455 355
-0.2925 -0.455 279
-0.26 -0.455 232
-0.2275 -0.455 187
-0.195 -0.455 153
-0.1625 -0.455 134
-0.13 -0.455 126
-0.0975 -0.455 120
-0.065 -0.455 97
-0.0325 -0.455 149
0 -0.455 225
0.0325 -0.455 227
0.065 -0.455 230
0.0975 -0.455 200
-0.325 -0.42 333
-0.2925 -0.42 264
-0.26 -0.42 221
-0.2275 -0.42 180
-0.195 -0.42 141
-0.1625 -0.42 121
-0.13 -0.42 110
-0.0975 -0.42 105
-0.065 -0.42 86
-0.0325 -0.42 156
0 -0.42 260
0.0325 -0.42 322
0.065 -0.42 351
0.0975 -0.42 353
-0.325 -0.385 312
-0.2925 -0.385 252
-0.26 -0.385 217
-0.2275 -0.385 176
-0.195 -0.385 135
-0.1625 -0.385 113
-0.13 -0.385 101
-0.0975 -0.385 96
-0.065 -0.385 83
-0.0325 -0.385 188
0 -0.385 330
0.0325 -0.385 425
0.065 -0.385 492
0.0975 -0.385 519
-0.325 -0.35 305
-0.2925 -0.35 246
-0.26 -0.35 211
-0.2275 -0.35 171
-0.195 -0.35 129
-0.1625 -0.35 102
-0.13 -0.35 92
-0.0975 -0.35 93
-0.065 -0.35 104
-0.0325 -0.35 235
0 -0.35 413
0.0325 -0.35 542
0.065 -0.35 634
0.0975 -0.35 651
-0.325 -0.315 288
-0.2925 -0.315 250
-0.26 -0.315 210
-0.2275 -0.315 173
-0.195 -0.315 134
-0.1625 -0.315 118
-0.13 -0.315 108
-0.0975 -0.315 118
-0.065 -0.315 155
-0.0325 -0.315 295
0 -0.315 432
0.0325 -0.315 580
0.065 -0.315 683
0.0975 -0.315 744
0.13 -0.315 775
0.1625 -0.315 707
0.195 -0.315 501
0.2275 -0.315 415
0.26 -0.315 386
0.2925 -0.315 330
0.325 -0.315 318
-0.325 -0.28 271
-0.2925 -0.28 294
-0.26 -0.28 235
-0.2275 -0.28 199
-0.195 -0.28 167
-0.1625 -0.28 142
-0.13 -0.28 138
-0.0975 -0.28 158
-0.065 -0.28 199
-0.0325 -0.28 330
0 -0.28 439
0.0325 -0.28 590
0.065 -0.28 693
0.0975 -0.28 773
0.13 -0.28 841
0.1625 -0.28 867
0.195 -0.28 790
0.2275 -0.28 648
0.26 -0.28 560
0.2925 -0.28 554
0.325 -0.28 652
-0.325 -0.245 248
-0.2925 -0.245 303
-0.26 -0.245 251
-0.2275 -0.245 225
-0.195 -0.245 191
-0.1625 -0.245 170
-0.13 -0.245 178
-0.0975 -0.245 195
-0.065 -0.245 275
-0.0325 -0.245 339
0 -0.245 439
0.0325 -0.245 570
0.065 -0.245 692
0.0975 -0.245 782
0.13 -0.245 851
0.1625 -0.245 902
0.195 -0.245 909
0.2275 -0.245 856
0.26 -0.245 853
0.2925 -0.245 940
0.325 -0.245 1106
-0.325 -0.21 213
-0.2925 -0.21 275
-0.26 -0.21 294
-0.2275 -0.21 253
-0.195 -0.21 229
-0.1625 -0.21 215
-0.13 -0.21 211
-0.0975 -0.21 268
-0.065 -0.21 308
-0.0325 -0.21 365
0 -0.21 445
0.0325 -0.21 554
0.065 -0.21 656
0.0975 -0.21 767
0.13 -0.21 844
0.1625 -0.21 907
0.195 -0.21 948
0.2275 -0.21 1000
0.26 -0.21 1053
0.2925 -0.21 1206
0.325 -0.21 1416
-0.325 -0.175 189
-0.2925 -0.175 267
-0.26 -0.175 323
-0.2275 -0.175 281
-0.195 -0.175 269
-0.1625 -0.175 261
-0.13 -0.175 297
-0.0975 -0.175 308
-0.065 -0.175 354
-0.0325 -0.175 399
0 -0.175 458
0.0325 -0.175 535
0.065 -0.175 655
0.0975 -0.175 753
0.13 -0.175 852
0.1625 -0.175 927
0.195 -0.175 1008
0.2275 -0.175 1126
0.26 -0.175 1256
0.2925 -0.175 1372
0.325 -0.175 1469
-0.325 -0.14 157
-0.2925 -0.14 245
-0.26 -0.14 315
-0.2275 -0.14 296
-0.195 -0.14 338
-0.1625 -0.14 339
-0.13 -0.14 341
-0.0975 -0.14 359
-0.065 -0.14 399
-0.0325 -0.14 436
0 -0.14 496
0.0325 -0.14 571
0.065 -0.14 651
0.0975 -0.14 760
0.13 -0.14 877
0.1625 -0.14 991
0.195 -0.14 1103
0.2275 -0.14 1213
0.26 -0.14 1325
0.2925 -0.14 1420
0.325 -0.14 1493
-0.325 -0.105 120
-0.2925 -0.105 215
-0.26 -0.105 366
-0.2275 -0.105 407
-0.195 -0.105 358
-0.1625 -0.105 382
-0.13 -0.105 405
-0.0975 -0.105 425
-0.065 -0.105 452
-0.0325 -0.105 492
0 -0.105 531
0.0325 -0.105 597
0.065 -0.105 684
0.0975 -0.105 787
0.13 -0.105 904
0.1625 -0.105 1038
0.195 -0.105 1146
0.2275 -0.105 1281
0.26 -0.105 1361
0.2925 -0.105 1425
0.325 -0.105 1485
-0.325 -0.07 95
-0.2925 -0.07 161
-0.26 -0.07 249
-0.2275 -0.07 414
-0.195 -0.07 440
-0.1625 -0.07 417
-0.13 -0.07 447
-0.0975 -0.07 478
-0.065 -0.07 514
-0.0325 -0.07 549
0 -0.07 592
0.0325 -0.07 649
0.065 -0.07 721
0.0975 -0.07 821
0.13 -0.07 947
0.1625 -0.07 1059
0.195 -0.07 1157
0.2275 -0.07 1291
0.26 -0.07 1362
0.2925 -0.07 1419
0.325 -0.07 1480
-0.325 -0.035 85
-0.2925 -0.035 122
-0.26 -0.035 190
-0.2275 -0.035 308
-0.195 -0.035 476
-0.1625 -0.035 481
-0.13 -0.035 477
-0.0975 -0.035 533
-0.065 -0.035 567
-0.0325 -0.035 607
0 -0.035 660
0.0325 -0.035 719
0.065 -0.035 791
0.0975 -0.035 881
0.13 -0.035 984
0.1625 -0.035 1092
0.195 -0.035 1215
0.2275 -0.035 1307
0.26 -0.035 1365
0.2925 -0.035 1411
0.325 -0.035 1466
-0.325 -1.80411e-16 73
-0.2925 -1.80411e-16 107
-0.26 -1.80411e-16 148
-0.2275 -1.80411e-16 228
-0.195 -1.80411e-16 344
-0.1625 -1.80411e-16 519
-0.13 -1.80411e-16 561
-0.0975 -1.80411e-16 544
-0.065 -1.80411e-16 608
-0.0325 -1.80411e-16 660
0 -1.80411e-16 718
0.0325 -1.80411e-16 782
0.065 -1.80411e-16 868
0.0975 -1.80411e-16 947
0.13 -1.80411e-16 1036
0.1625 -1.80411e-16 1135
0.195 -1.80411e-16 1242
0.2275 -1.80411e-16 1320
0.26 -1.80411e-16 1368
0.2925 -1.80411e-16 1415
0.325 -1.80411e-16 1461
-0.325 0.035 45
-0.2925 0.035 81
-0.26 0.035 131
-0.2275 0.035 180
-0.195 0.035 247
-0.1625 0.035 368
-0.13 0.035 555
-0.0975 0.035 587
-0.065 0.035 598
-0.0325 0.035 670
0 0.035 742
0.0325 0.035 816
0.065 0.035 898
0.0975 0.035 984
0.13 0.035 1072
0.1625 0.035 1190
0.195 0.035 1263
0.2275 0.035 1344
0.26 0.035 1385
0.2925 0.035 1415
0.325 0.035 1456
-0.325 0.07 36
-0.2925 0.07 70
-0.26 0.07 110
-0.2275 0.07 155
-0.195 0.07 216
-0.1625 0.07 279
-0.13 0.07 385
-0.0975 0.07 575
-0.065 0.07 672
-0.0325 0.07 679
0 0.07 732
0.0325 0.07 827
0.065 0.07 904
0.0975 0.07 985
0.13 0.07 1071
0.1625 0.07 1180
0.195 0.07 1251
0.2275 0.07 1312
0.26 0.07 1356
0.2925 0.07 1382
0.325 0.07 1407
-0.325 0.105 30
-0.2925 0.105 47
-0.26 0.105 85
-0.2275 0.105 124
-0.195 0.105 179
-0.1625 0.105 234
-0.13 0.105 297
-0.0975 0.105 377
-0.065 0.105 491
-0.0325 0.105 677
0 0.105 758
0.0325 0.105 781
0.065 0.105 853
0.0975 0.105 963
0.13 0.105 1068
0.1625 0.105 1134
0.195 0.105 1195
0.2275 0.105 1251
0.26 0.105 1286
0.2925 0.105 1313
0.325 0.105 1320
-0.325 0.14 30
-0.2925 0.14 37
-0.26 0.14 57
-0.2275 0.14 99
-0.195 0.14 129
-0.1625 0.14 177
-0.13 0.14 239
-0.0975 0.14 318
-0.065 0.14 380
-0.0325 0.14 467
0 0.14 587
0.0325 0.14 769
0.065 0.14 863
0.0975 0.14 911
0.13 0.14 964
0.1625 0.14 1046
0.195 0.14 1126
0.2275 0.14 1188
0.26 0.14 1230
0.2925 0.14 1262
0.325 0.14 1283
-0.325 0.175 27
-0.2925 0.175 34
-0.26 0.175 47
-0.2275 0.175 65
-0.195 0.175 94
-0.1625 0.175 128
-0.13 0.175 174
-0.0975 0.175 219
-0.065 0.175 273
-0.0325 0.175 330
0 0.175 397
0.0325 0.175 487
0.065 0.175 583
0.0975 0.175 731
0.13 0.175 847
0.1625 0.175 1013
0.195 0.175 1034
0.2275 0.175 1053
0.26 0.175 1117
0.2925 0.175 1143
0.325 0.175 1166
