../../Project_WorkCell/Scene.wc.xml
CylinderBlue
x y #collisionFreeSolutions
-0.325 -0.525 8
-0.2925 -0.525 10
-0.26 -0.525 18
-0.2275 -0.525 14
-0.195 -0.525 8
-0.1625 -0.525 6
-0.13 -0.525 4
-0.0975 -0.525 2
-0.065 -0.525 0
-0.0325 -0.525 0
0 -0.525 0
0.0325 -0.525 0
0.065 -0.525 0
0.0975 -0.525 0
-0.325 -0.49 162
-0.2925 -0.49 175
-0.26 -0.49 175
-0.2275 -0.49 178
-0.195 -0.49 173
-0.1625 -0.49 156
-0.13 -0.49 144
-0.0975 -0.49 119
-0.065 -0.49 79
-0.0325 -0.49 60
0 -0.49 32
0.0325 -0.49 4
0.065 -0.49 0
0.0975 -0.49 0
-0.325 -0.455 387
-0.2925 -0.455 383
-0.26 -0.455 391
-0.2275 -0.455 389
-0.195 -0.455 373
-0.1625 -0.455 353
-0.13 -0.455 316
-0.0975 -0.455 294
-0.065 -0.455 267
-0.0325 -0.455 224
0 -0.455 180
0.0325 -0.455 140
0.065 -0.455 81
0.0975 -0.455 55
-0.325 -0.42 703
-0.2925 -0.42 722
-0.26 -0.42 735
-0.2275 -0.42 724
-0.195 -0.42 712
-0.1625 -0.42 675
-0.13 -0.42 643
-0.0975 -0.42 579
-0.065 -0.42 471
-0.0325 -0.42 433
0 -0.42 378
0.0325 -0.42 298
0.065 -0.42 251
0.0975 -0.42 182
-0.325 -0.385 1220
-0.2925 -0.385 1270
-0.26 -0.385 1268
-0.2275 -0.385 1267
-0.195 -0.385 1243
-0.1625 -0.385 1177
-0.13 -0.385 1124
-0.0975 -0.385 1069
-0.065 -0.385 1017
-0.0325 -0.385 761
0 -0.385 698
0.0325 -0.385 603
0.065 -0.385 464
0.0975 -0.385 394
-0.325 -0.35 1281
-0.2925 -0.35 1255
-0.26 -0.35 1244
-0.2275 -0.35 1246
-0.195 -0.35 1245
-0.1625 -0.35 1254
-0.13 -0.35 1263
-0.0975 -0.35 1260
-0.065 -0.35 1247
-0.0325 -0.35 1196
0 -0.35 1139
0.0325 -0.35 1046
0.065 -0.35 953
0.0975 -0.35 699
-0.325 -0.315 1420
