../../Project_WorkCell/Scene.wc.xml
CylinderGreen
x y #collisionFreeSolutions
-0.325 -0.525 0
-0.2925 -0.525 0
-0.26 -0.525 0
-0.2275 -0.525 0
-0.195 -0.525 0
-0.1625 -0.525 0
-0.13 -0.525 0
-0.0975 -0.525 0
-0.065 -0.525 0
-0.0325 -0.525 0
0 -0.525 0
0.0325 -0.525 0
0.065 -0.525 0
0.0975 -0.525 0
-0.325 -0.49 0
-0.2925 -0.49 0
-0.26 -0.49 0
-0.2275 -0.49 0
-0.195 -0.49 0
-0.1625 -0.49 38
-0.13 -0.49 53
-0.0975 -0.49 67
-0.065 -0.49 71
-0.0325 -0.49 76
0 -0.49 80
0.0325 -0.49 76
0.065 -0.49 71
0.0975 -0.49 67
-0.325 -0.455 0
-0.2925 -0.455 43
-0.26 -0.455 67
-0.2275 -0.455 127
-0.195 -0.455 163
-0.1625 -0.455 182
-0.13 -0.455 215
-0.0975 -0.455 250
-0.065 -0.455 267
-0.0325 -0.455 278
0 -0.455 286
0.0325 -0.455 278
0.065 -0.455 267
0.0975 -0.455 250
-0.325 -0.42 146
-0.2925 -0.42 173
-0.26 -0.42 259
-0.2275 -0.42 302
-0.195 -0.42 348
-0.1625 -0.42 422
-0.13 -0.42 472
-0.0975 -0.42 503
-0.065 -0.42 532
-0.0325 -0.42 531
0 -0.42 536
0.0325 -0.42 532
0.065 -0.42 532
0.0975 -0.42 503
-0.325 -0.385 319
-0.2925 -0.385 449
-0.26 -0.385 514
-0.2275 -0.385 734
-0.195 -0.385 789
-0.1625 -0.385 804
-0.13 -0.385 841
-0.0975 -0.385 895
-0.065 -0.385 853
-0.0325 -0.385 857
0 -0.385 859
0.0325 -0.385 855
0.065 -0.385 852
0.0975 -0.385 894
-0.325 -0.35 768
-0.2925 -0.35 822
-0.26 -0.35 928
-0.2275 -0.35 922
-0.195 -0.35 940
-0.1625 -0.35 974
-0.13 -0.35 992
-0.0975 -0.35 999
-0.065 -0.35 1002
-0.0325 -0.35 1005
0 -0.35 1001
0.0325 -0.35 1003
0.065 -0.35 996
0.0975 -0.35 994
-0.325 -0.315 943
-0.2925 -0.315 1023
-0.26 -0.315 1053
-0.2275 -0.315 1084
-0.195 -0.315 1138
-0.1625 -0.315 1155
-0.13 -0.315 1178
-0.0975 -0.315 1208
-0.065 -0.315 1227
-0.0325 -0.315 1245
0 -0.315 1236
0.0325 -0.315 1245
0.065 -0.315 1224
0.0975 -0.315 1205
0.13 -0.315 1171
0.1625 -0.315 1142
0.195 -0.315 1124
0.2275 -0.315 1072
0.26 -0.315 1036
0.2925 -0.315 1009
0.325 -0.315 932
-0.325 -0.28 1136
-0.2925 -0.28 1188
-0.26 -0.28 1235
-0.2275 -0.28 1297
-0.195 -0.28 1331
-0.1625 -0.28 1384
-0.13 -0.28 1425
-0.0975 -0.28 1458
-0.065 -0.28 1459
-0.0325 -0.28 1474
0 -0.28 1480
0.0325 -0.28 1471
0.065 -0.28 1451
0.0975 -0.28 1445
0.13 -0.28 1411
0.1625 -0.28 1368
0.195 -0.28 1312
0.2275 -0.28 1275
0.26 -0.28 1210
0.2925 -0.28 1160
0.325 -0.28 1105
-0.325 -0.245 1327
-0.2925 -0.245 1388
-0.26 -0.245 1472
-0.2275 -0.245 1522
-0.195 -0.245 1602
-0.1625 -0.245 1651
-0.13 -0.245 1692
-0.0975 -0.245 1754
-0.065 -0.245 1773
-0.0325 -0.245 1791
0 -0.245 1797
0.0325 -0.245 1786
0.065 -0.245 1762
0.0975 -0.245 1735
0.13 -0.245 1674
0.1625 -0.245 1632
0.195 -0.245 1581
0.2275 -0.245 1497
0.26 -0.245 1444
0.2925 -0.245 1352
0.325 -0.245 1291
-0.325 -0.21 1536
-0.2925 -0.21 1640
-0.26 -0.21 1718
-0.2275 -0.21 1825
-0.195 -0.21 1892
-0.1625 -0.21 2045
-0.13 -0.21 2093
-0.0975 -0.21 2137
-0.065 -0.21 2184
-0.0325 -0.21 2215
0 -0.21 2219
0.0325 -0.21 2211
0.065 -0.21 2166
