../../Project_WorkCell/Scene.wc.xml
CylinderRed
x y #collisionFreeSolutions
-0.325 -0.525 0
-0.2925 -0.525 0
-0.26 -0.525 0
-0.2275 -0.525 0
-0.195 -0.525 0
-0.1625 -0.525 0
-0.13 -0.525 0
-0.0975 -0.525 0
-0.065 -0.525 0
-0.0325 -0.525 2
0 -0.525 18
0.0325 -0.525 40
0.065 -0.525 50
0.0975 -0.525 82
-0.325 -0.49 0
-0.2925 -0.49 0
-0.26 -0.49 0
-0.2275 -0.49 0
-0.195 -0.49 0
-0.1625 -0.49 0
-0.13 -0.49 0
-0.0975 -0.49 14
-0.065 -0.49 39
-0.0325 -0.49 83
0 -0.49 115
0.0325 -0.49 155
0.065 -0.49 186
0.0975 -0.49 204
-0.325 -0.455 0
-0.2925 -0.455 0
-0.26 -0.455 0
-0.2275 -0.455 0
-0.195 -0.455 0
-0.1625 -0.455 19
-0.13 -0.455 78
-0.0975 -0.455 120
-0.065 -0.455 180
-0.0325 -0.455 236
0 -0.455 271
0.0325 -0.455 306
0.065 -0.455 371
0.0975 -0.455 395
-0.325 -0.42 0
-0.2925 -0.42 0
-0.26 -0.42 0
-0.2275 -0.42 29
-0.195 -0.42 87
-0.1625 -0.42 145
-0.13 -0.42 223
-0.0975 -0.42 278
-0.065 -0.42 343
-0.0325 -0.42 409
0 -0.42 463
0.0325 -0.42 582
0.065 -0.42 632
0.0975 -0.42 675
-0.325 -0.385 0
-0.2925 -0.385 8
-0.26 -0.385 69
-0.2275 -0.385 152
-0.195 -0.385 226
-0.1625 -0.385 293
-0.13 -0.385 417
-0.0975 -0.385 503
-0.065 -0.385 617
-0.0325 -0.385 696
0 -0.385 862
0.0325 -0.385 968
0.065 -0.385 1182
0.0975 -0.385 1252
-0.325 -0.35 53
-0.2925 -0.35 134
-0.26 -0.35 221
-0.2275 -0.35 300
-0.195 -0.35 420
-0.1625 -0.35 572
-0.13 -0.35 669
-0.0975 -0.35 861
-0.065 -0.35 975
-0.0325 -0.35 1236
0 -0.35 1349
0.0325 -0.35 1471
0.065 -0.35 1518
0.0975 -0.35 1569
-0.325 -0.315 172
-0.2925 -0.315 279
-0.26 -0.315 414
-0.2275 -0.315 552
-0.195 -0.315 673
-0.1625 -0.315 886
-0.13 -0.315 1170
-0.0975 -0.315 1297
-0.065 -0.315 1439
-0.0325 -0.315 1476
0 -0.315 1581
0.0325 -0.315 1603
0.065 -0.315 1629
0.0975 -0.315 1650
0.13 -0.315 1648
0.1625 -0.315 1634
0.195 -0.315 1630
0.2275 -0.315 1635
0.26 -0.315 1644
0.2925 -0.315 1638
0.325 -0.315 1637
-0.325 -0.28 366
-0.2925 -0.28 460
-0.26 -0.28 640
-0.2275 -0.28 859
-0.195 -0.28 1156
-0.1625 -0.28 1272
-0.13 -0.28 1414
-0.0975 -0.28 1529
-0.065 -0.28 1579
-0.0325 -0.28 1628
0 -0.28 1680
0.0325 -0.28 1704
0.065 -0.28 1741
0.0975 -0.28 1750
0.13 -0.28 1773
0.1625 -0.28 1827
0.195 -0.28 1845
0.2275 -0.28 1888
0.26 -0.28 1894
0.2925 -0.28 1887
0.325 -0.28 1860
-0.325 -0.245 575
-0.2925 -0.245 748
-0.26 -0.245 920
-0.2275 -0.245 1222
-0.195 -0.245 1391
-0.1625 -0.245 1533
-0.13 -0.245 1587
-0.0975 -0.245 1653
-0.065 -0.245 1705
-0.0325 -0.245 1783
0 -0.245 1801
0.0325 -0.245 1888
0.065 -0.245 1932
0.0975 -0.245 2006
0.13 -0.245 2057
0.1625 -0.245 2093
0.195 -0.245 2122
0.2275 -0.245 2140
0.26 -0.245 2155
0.2925 -0.245 2145
0.325 -0.245 2128
-0.325 -0.21 838
-0.2925 -0.21 1163
-0.26 -0.21 1328
-0.2275 -0.21 1422
-0.195 -0.21 1487
-0.1625 -0.21 1593
-0.13 -0.21 1691
-0.0975 -0.21 1771
-0.065 -0.21 1847
-0.0325 -0.21 1930
0 -0.21 2044
0.0325 -0.21 2144
0.065 -0.21 2256
0.0975 -0.21 2325
